trade_id,industry_exports_total,destination_share,export_intensity,destination_count,export_concentration_hhi
17147,115.32,0.001561,0.000343,4,0.269546
79159,12554.87,1.4e-05,0.037348,16,0.115818
100652,325.5,0.000553,0.000968,45,0.070947
5029,6658.69,2.7e-05,0.019808,44,0.009234
51210,4710.18,3.8e-05,0.014012,37,0.057681
100394,1579.11,0.000114,0.004697,45,0.006045
88345,1138.49,0.000158,0.003387,45,0.006017
37693,1138.49,0.000158,0.003387,45,0.006017
20505,5343.4,3.4e-05,0.015895,38,0.26853
82376,3518.97,5.1e-05,0.010468,44,0.022309
49415,834.99,0.000216,0.002484,42,0.102144
28705,2572.66,7e-05,0.007653,45,0.014234
52008,3518.97,5.1e-05,0.010468,44,0.022309
28262,103.94,0.001732,0.000309,23,0.020993
